city,district,neighborhood,room,living_room,area,age,floor,price
zonguldak,eregli,guluc_guluc,2,1,100,15,1,17500
mersin,tarsus,yarbay_semsettin,3,1,110,15,3,14500
izmir,bayrakli,tepekule,2,1,90,25,4,23500
ankara,cankaya,asagi_ovecler,3,1,140,18,-1,30000
mugla,bodrum,torba,2,1,80,11,0,35000
kocaeli,golcuk,ciftlik,3,1,105,38,3,22000
izmir,karsiyaka,demirkopru,1,1,60,5,2,26500
izmir,balcova,cetin_emec,3,1,135,28,4,20000
aydin,kusadasi,ege,3,1,200,12,4,45000
antalya,muratpasa,etiler,3,1,165,26,2,28000
izmir,buca,adatepe,1,1,62,5,3,15500
izmir,buca,buca_koop,3,1,120,25,8,20000
ankara,etimesgut,topcu,3,1,120,20,1,18500
istanbul,sisli,merkez,4,1,140,25,4,65000
balikesir,burhaniye,pelitkoy,4,1,150,20,0,36000
ankara,cankaya,osman_temiz,2,1,85,20,0,18000
eskisehir,tepebasi,eskibaglar,1,1,55,11,2,13000
hatay,antakya,alazi,3,1,125,0,1,13500
izmir,karsiyaka,bahriye_ucok,3,1,150,10,1,45000
mugla,milas,gulluk,1,1,65,5,3,25000
mersin,yenisehir,batikent,3,1,190,15,7,28000
izmir,balcova,egitim,2,1,85,11,4,22000
bolu,merkez,karamanli,2,1,80,26,2,10000
denizli,pamukkale,kinikli,1,1,50,3,1,12000
izmir,karabaglar,basin_sitesi,4,1,200,28,6,43000
izmir,buca,ataturk,1,1,65,4,4,15000
antalya,alanya,oba,1,1,64,0,2,16000
balikesir,altieylul,gumuscesme,2,1,112,0,4,36000
aydin,efeler,girne,3,1,175,11,6,35000
tekirdag,corlu,muhittin,1,1,60,0,2,15000
mugla,marmaris,cildir,3,1,135,20,0,45000
istanbul,eyupsultan,rami_yeni,2,1,75,36,3,16500
duzce,merkez,cumhuriyet,2,1,109,4,1,20000
ankara,etimesgut,erler,4,1,199,17,4,60000
izmir,konak,cankaya,2,1,85,35,2,25000
