"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 3","list-view-header"
"https://www.hepsiemlak.com/ankara-golbasi-orencik-kiralik/daire/35636-263","15","20.500","02-06-2025","1 +
                          1","60 m²","Sıfır Bina","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/3/6/4/3/6/4/4/1747677630684-44634637.jpg","EİDS onaylı","Ankara / Gölbaşı / Örencik Mah.","https://www.hepsiemlak.com/emlak-ofisi/asal-gayrimenkul-35636","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Asal Gayrimenkul","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/3/6/5/3/0/a1c84112-fbfc-49e8-8e51-b225b2cabe27.jpg","Asal Gayrimenkul Kiralık Eşyalı 1+1 Daire"
"https://www.hepsiemlak.com/kayseri-melikgazi-sakarya-kiralik/daire/130921-93","6","12.500","02-06-2025","1 +
                          1","90 m²","4
                        Yaşında","Zemin","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/9/3/7/3/1/2/4/1706772412928-42137391.jpg","EİDS onaylı","Kayseri / Melikgazi / Sakarya Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","","Sakarya Mahallesin De Eşyalı Kiralık Daire"
"https://www.hepsiemlak.com/istanbul-sisli-harbiye-kiralik/daire/29818-433","60","250.000","02-06-2025","3 +
                          1","150 m²","40
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/8/5/9/5/4/4/1746699924-750153-44595876.jpeg","EİDS onaylı","İstanbul / Şişli / Harbiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/bizz-gayrimenkul-29818/hale-ortaaslan-2500105","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Bizz Gayrimenkul","Hale
          Ortaaslan","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/0/1/0/0/5/2/1ee4988a-89ff-445e-b632-e63504875b68.png","Nişantaşı Abdi İpekçide Kaliteli Kullanıma Hazır"
"https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/3584-28584","15","45.000","02-06-2025","3 +
                          1","180 m²","25
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/9/6/3/6/3/4/4/82e32d4b-f078-4f6f-b266-44c37de8baa0.jpg","EİDS onaylı","Ankara / Çankaya / Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/anadolu-emlak-3584/cenk-yalcinkaya-3584","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Anadolu Emlak","Cenk
          Yalçınkaya","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/4/8/5/3/0/0/9f0eba9e-8472-4581-92d6-fdbc9fbff619.jpg","Bahçelievlerin Prestijli Binadasında 2.Kat Köşe Ön 3+1 Otoprklı"
"https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-kiralik/daire/3584-28663","17","47.000","02-06-2025","3 +
                          1","130 m²","40
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/1/8/5/0/6/4/4/7d1110ba-32ae-445a-9819-b1def6df6117.jpg","EİDS onaylı","Ankara / Çankaya / Yukarı Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/anadolu-emlak-3584/cenk-yalcinkaya-3584","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Anadolu Emlak","Cenk
          Yalçınkaya","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/4/8/5/3/0/0/9f0eba9e-8472-4581-92d6-fdbc9fbff619.jpg","Bahçelievlerde 3+1 Ön Katta Full Mobilyalı Lüx"
"https://www.hepsiemlak.com/ankara-cankaya-cankaya-kiralik/daire/16602-1849","16","45.000","02-06-2025","4 +
                          1","220 m²","40
                        Yaşında","2. Kat","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/4/3/5/2/4/4/33039c0e-b0ea-4c64-9aaa-85a37fe9db07.jpg","","Ankara / Çankaya / Çankaya Mah.","https://www.hepsiemlak.com/emlak-ofisi/sweet-home-real-estate-agency-16602/sweet-home-emlak-16602","","Sweet Home Real Estate Agency","Sweet Home
          Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/0/6/6/1/0/1de18d32-2f6d-4905-b14d-780011fdd60d.jpg","Çankaya, Seğmenler -Botanik Parkı-Farabi-Tunalı Yakını 4+1, Kombili, Otoparklı"
"https://www.hepsiemlak.com/adana-cukurova-huzurevleri-kiralik/daire/138831-252","26","26.000","02-06-2025","3 +
                          1","180 m²","20
                        Yaşında","11. Kat","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/8/4/3/2/7/4/4/1748693004-524531-44723481.jpeg","","Adana / Çukurova / Huzurevleri Mah.","https://www.hepsiemlak.com/emlak-ofisi/remay-gayrimenkul-138831","","Remay Gayrimenkul","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/8/8/3/1/b3d2b51c-997b-4094-9bd3-4c0889fe2f35.jpg","Remay'dan Huzurevleri'nde Kiralık 3+1 İçi Full Yapılı Ultra Lüx Geniş Fırsat Daire"
"https://www.hepsiemlak.com/istanbul-uskudar-sultantepe-kiralik/daire/26878-569","17","35.000","01-06-2025","1 +
                          1","70 m²","2
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/3/5/7/2/7/4/4/699fdbe5-ca13-4b1a-a242-14c84a319943.jpg","EİDS onaylı","İstanbul / Üsküdar / Sultantepe Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","","Üsküdar İskelesi Ve Marmaray'a 200 Metre 1+1 Yeni Binadan Kiralık Şahane Daire"
"https://www.hepsiemlak.com/istanbul-sisli-izzet-pasa-kiralik/daire/50569-5310","60","20.000","01-06-2025","1 +
                          1","50 m²","Sıfır Bina","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/3/7/6/2/7/4/4/1748779900820-44726735.jpg","EİDS onaylı","İstanbul / Şişli / İzzet Paşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/fulya-emlak-50569/fulya-havuz-961260","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Fulya Emlak","Fulya
          Havuz","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/6/2/1/6/9/909e240b-26b1-4c97-a1fb-a0b7ed06c529.jpg","Fulya Emlak'tan Metro Metrobüse 8-10 Dakika 1+1 Sıfır Daireler"
"https://www.hepsiemlak.com/istanbul-bakirkoy-atakoy-7-8-9-10-kisim-kiralik/daire/145985-17","23","85.000","01-06-2025","2 +
                          1","125 m²","4
                        Yaşında","12. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/0/6/2/7/4/4/85ebb1a3-4d4a-4275-9735-39273237b9a5.jpg","EİDS onaylı","İstanbul / Bakırköy / Ataköy 7-8-9-10. Kısım Mah.","https://www.hepsiemlak.com/emlak-ofisi/ysk-gayrimenkul-ltdsti-145985","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Ysk Gayrimenkul LTD.ŞTİ.","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/8/9/5/4/1/f5411059-b8b9-4814-b28a-57b26674be10.jpg","Aşçıoğlu Selenıum Retro 9 12.Kat 2+1 125m2 Eşyalı Kiralık Daire"
